Issue Type,Summary,Description,Parent,Priority,Labels,Sprint,Story Points,Proposed Assignee,Acceptance Criteria,Depends On
Epic,Project setup and governance,"Repository, group agreement and shared conventions so everyone can work without collisions.",,Highest,setup;governance,Sprint 1,,TBC,All members can clone the repo and run the site locally.,
Epic,Site shell and shared styles,"Shared header, navigation, footer and the external stylesheet used by all four pages.",,Highest,css;shared,Sprint 1,,TBC,"All four pages share one identical header and footer, and link one stylesheet.",PROJ-1
Epic,Home page,"index.html with company identity, merged-cell table, search prototype and the inclusion statement.",,High,page;home,Sprint 1,,TBC,index.html validates and meets every Home requirement in the brief.,PROJ-2
Epic,Jobs page,jobs.html with at least two full vacancies and the floated aside.,,High,page;jobs,Sprint 1,,TBC,jobs.html validates and the aside floats right at 25% on desktop.,PROJ-2
Epic,Apply page,apply.html with the full validated application form.,,High,page;apply,Sprint 2,,TBC,"All 13 fields present with correct validation, and the POST reaches the test script.",PROJ-2
Epic,About page,"about.html with team details, quotes, group photo and fun facts.",,High,page;about,Sprint 2,,TBC,about.html validates and contains no placeholders.,PROJ-2
Epic,Accessibility and quality,"Validation, responsive behaviour, keyboard access and contrast across the site.",,High,a11y;quality,Sprint 2,,TBC,All pages validate with zero errors and pass the keyboard walkthrough.,PROJ-3;PROJ-4;PROJ-5;PROJ-6
Epic,Deployment and submission,GitHub Pages deployment and the Canvas submission package.,,Medium,deploy;submission,Sprint 2,,TBC,"Live site reachable, and the ZIP matches the deployed code.",PROJ-7
Story,As a group we need a shared repository so we can work in parallel,"Create the GitHub repo, add all members, agree a branch naming convention.",PROJ-1,Highest,setup,Sprint 1,2,TBC,Every member has pushed at least one commit.,
Story,As a group we must submit the Group Agreement before starting work,"Complete and sign the template, then upload it individually on Canvas.",PROJ-1,Highest,governance,Sprint 1,1,All members,Agreement submitted by every member before any project commit.,
Task,Confirm the allocated group code and industry with the tutor,Blocks all content writing. Record the answer in decisions.md D-01.,PROJ-1,Highest,blocker;content,Sprint 1,1,TBC,Group code recorded and content re-tailored to that industry.,
Task,Confirm the real due date with the tutor,The brief and Canvas disagree. Record the answer in decisions.md D-02.,PROJ-1,Highest,blocker,Sprint 1,1,TBC,One agreed date written into the release checklist.,
Story,As a visitor I need the same navigation on every page so I never get lost,Build the shared header and nav with the current page marked.,PROJ-2,Highest,html;shared,Sprint 1,3,TBC,All four pages have identical nav markup with aria-current on the current page.,PROJ-9
Story,As a visitor I need a footer with the project links,"Jira, GitHub, live site and email in the footer of every page.",PROJ-2,High,html;shared,Sprint 1,2,TBC,Four footer items present on all pages.,PROJ-9
Task,Create the external stylesheet with the required comment header,Set up styles.css with the unit comment block and numbered section banners.,PROJ-2,Highest,css,Sprint 1,3,TBC,styles.css validates with zero errors.,PROJ-9
Task,Define the colour palette and check contrast,Choose hex colours and verify every text pair meets at least 4.5 to 1.,PROJ-2,High,css;a11y,Sprint 1,2,TBC,All measured ratios recorded in the test report.,
Story,As a jobseeker I want to see who the company is so I can decide whether to apply,"Logo, name, slogan, description and image on the home page.",PROJ-3,High,html;home,Sprint 1,3,TBC,All five identity elements present.,PROJ-13
Story,As a jobseeker I want to understand the hiring process before I apply,Build the merged-cell process table with a caption and scoped headers.,PROJ-3,High,html;home;table,Sprint 1,3,TBC,Table uses both rowspan and colspan and validates.,PROJ-13
Story,As a jobseeker I want to search for a role,Labelled search field and button that navigates to the vacancy list.,PROJ-3,Medium,html;home,Sprint 1,2,TBC,"Search box and button present, with a visible note on what it does not do.",PROJ-13
Task,Add the CSS background graphic to the home page,Local SVG pattern applied with background-image without harming contrast.,PROJ-3,Medium,css;home,Sprint 1,2,TBC,background-image rule present and the asset loads.,PROJ-15
Task,Write the inclusion statement and explain its relevance,"Inclusive employment statement plus reconciliation commitment, with explanation.",PROJ-3,High,content;ethics,Sprint 1,3,TBC,"Statement present and clearly explained, with nothing invented.",
